no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG10034.fa	WP_004729800.1	0.004	fig|470.5685.peg.6262|SAMEA104305377_05788|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045877 | 470.5685]	VFDB
HOG10074.fa	WP_004963481.1	3.44e-152	fig|470.5054.peg.3259|BQ1898_01304|	T6SS AAA+ chaperone ClpV (TssH)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10106.fa	WP_004898307.1	1.72e-11	fig|349966.5.peg.1488|yfred0001_15320|VBIYerFre50381_1488|	Transcriptional regulator of acrAB operon, AcrR   [Yersinia frederiksenii ATCC 33641 | 349966.5]	PATRIC
HOG10137.fa	WP_004900451.1	1.78e-10	fig|1229489.3.peg.2978|VBIBetPro254082_2978|	Transcriptional regulator of acrAB operon, AcrR   [beta proteobacterium L13 | 1229489.3]	PATRIC
HOG10155.fa	WP_040331413.1	1.29e-47	fig|470.5054.peg.3173|BQ1898_05571|	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10158.fa	WP_045793049.1	2.62e-06	fig|316.108.peg.1594|	Alginate biosynthesis two-component system sensor histidine kinase KinB   [Pseudomonas stutzeri strain KF716 (=NBRC 110668) | 316.108]	PATRIC
HOG10159.fa	WP_042892674.1	8.26e-71	fig|1123016.6.peg.273|	Alginate biosynthesis two-component system response regulator AlgB   [Pseudomonas balearica DSM 6083 DSM6083 (=SP1402) | 1123016.6]	PATRIC
HOG1019.fa	WP_000083629.1	3.96e-12	fig|470.5054.peg.1481|BQ1898_06147|	T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10214.fa	WP_045792542.1	0.010	fig|698759.3.peg.7645|STRIP9103_03651|VBIStrIpo159484_7645|	Lipoprotein LpqB, modulates activity of MtrAB two-component system   [Streptomyces ipomoeae 91-03 | 698759.3]	PATRIC
HOG10241.fa	WP_004756411.1	0.002	fig|470.5623.peg.1912|SAMEA104305315_05828|	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis @ Siderophore biosynthesis protein, monooxygenase   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG10246.fa	WP_004756687.1	0.004	fig|470.9259.peg.3619|	TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D   [Acinetobacter baumannii strain aba45acb | 470.9259]	VFDB
HOG1024.fa	WP_000084317.1	1.36e-11	fig|470.10130.peg.7344|	iron aquisition 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58,Irp5) @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG10307.fa	WP_002066325.1	2.00e-12	fig|470.5054.peg.5726|BQ1898_00038|	Transcriptional regulator PchR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1031.fa	WP_004961822.1	1.49e-04	fig|470.9260.peg.7626|	Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)   [Acinetobacter baumannii strain abaGIM | 470.9260]	VFDB
HOG10322.fa	WP_034171661.1	2.23e-04	fig|37923.8.peg.1611|RSA28_07485|	Two component system sensor histidine kinase MtrB   [Kocuria kristinae strain RSA28 | 37923.8]	PATRIC
HOG10415.fa	WP_034170878.1	1.85e-06	fig|470.5622.peg.8160|SAMEA104305299_03202|	ABC transporter, ATP-binding protein   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG10483.fa	WP_016660708.1	3.06e-07	fig|1388748.3.peg.1735|VBICroZur308118_1735|	Transcriptional regulator of acrAB operon, AcrR   [Cronobacter zurichensis LMG 23730 | 1388748.3]	PATRIC
HOG1057.fa	WP_000089273.1	1.19e-103	fig|470.5054.peg.1895|BQ1898_02624|	Type IV fimbriae expression regulatory protein PilR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10583.fa	WP_004806066.1	9.03e-06	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG1058.fa	WP_064785071.1	3.38e-72	fig|743720.3.peg.200|Psefu_0202|VBIPseFul161978_0200|	Alginate biosynthesis two-component system response regulator AlgB   [Pseudomonas fulva 12-X | 743720.3]	PATRIC
HOG10594.fa	WP_004807064.1	3.52e-07	fig|349965.6.peg.333|yinte0001_26130|VBIYerInt66761_0333|	Transcriptional regulator of acrAB operon, AcrR   [Yersinia intermedia ATCC 29909 | 349965.6]	PATRIC
HOG1059.fa	WP_004679575.1	3.47e-84	fig|470.5054.peg.6078|BQ1898_00272|	Flagellar regulatory protein FleQ   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG105.fa	WP_001169059.1	5.09e-09	fig|470.7268.peg.3004|	Enterobactin exporter EntS   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1060.fa	WP_000846949.1	1.01e-74	fig|470.5054.peg.6080|BQ1898_00274|	Flagellar two-component response regulator FleR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1061.fa	WP_004822532.1	7.73e-45	fig|1123508.3.peg.3308|VBIZavFor235957_3308|	Alginate biosynthesis two-component system response regulator AlgB   [Zavarzinella formosa DSM 19928 | 1123508.3]	PATRIC
HOG1062.fa	WP_000840559.1	4.69e-164	fig|470.5054.peg.1895|BQ1898_02624|	Type IV fimbriae expression regulatory protein PilR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10636.fa	WP_004810719.1	0.010	fig|1349789.5.peg.2072|	Transcriptional repressor of CmeABC operon, CmeR   [Sulfurospirillum arsenophilum NBRC 109478 | 1349789.5]	PATRIC
HOG1063.fa	WP_001096444.1	6.48e-73	fig|470.5054.peg.1895|BQ1898_02624|	Type IV fimbriae expression regulatory protein PilR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10646.fa	WP_005013783.1	9.86e-07	fig|470.3734.peg.3536|B4S00_02975|	hypothetical protein   [Acinetobacter baumannii strain ABUH526 | 470.3734]	VFDB
HOG1066.fa	WP_005100709.1	3.60e-10	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10689.fa	WP_034424910.1	0.003	fig|1460643.3.peg.3562|	Two component system sensor histidine kinase MtrB   [Arthrobacter sp. JCM 19049 | 1460643.3]	PATRIC
HOG1068.fa	WP_000890088.1	2.29e-06	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10693.fa	WP_082191080.1	0.002	fig|1108045.3.peg.5396|GORHZ_219_00010|VBIGorRhi226788_5396|	Two component system sensor histidine kinase MtrB   [Gordonia rhizosphera NBRC 16068 | 1108045.3]	PATRIC
HOG106.fa	WP_022574566.1	4.73e-100	fig|470.7268.peg.3004|	Enterobactin exporter EntS   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1070.fa	WP_061391858.1	8.55e-34	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1072.fa	WP_000912180.1	2.18e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10752.fa	WP_065993499.1	4.91e-131	fig|470.5054.peg.2790|BQ1898_01738|	4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1076.fa	WP_016137804.1	1.10e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1079.fa	WP_016540202.1	3.76e-09	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG107.fa	WP_004724861.1	2.26e-08	fig|470.3275.peg.3248|BS576_07910|	Tetracycline resistance, MFS efflux pump => Tet(B)   [Acinetobacter baumannii strain Ab158_GEIH-2000 | 470.3275]	VFDB
HOG1080.fa	WP_020847079.1	1.14e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10815.fa	WP_016656004.1	3.91e-44	fig|470.5054.peg.3260|BQ1898_01305|	T6SS component TssG (ImpH/VasB)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10816.fa	WP_016656002.1	4.69e-20	fig|470.5054.peg.3262|BQ1898_01307|	T6SS lysozyme-like component TssE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10817.fa	WP_016656001.1	7.51e-17	fig|470.5054.peg.3263|BQ1898_01308|	T6SS associated component TagJ (ImpE)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10818.fa	WP_004861869.1	5.01e-26	fig|470.5054.peg.3265|BQ1898_01309|	T6SS component Hcp   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10819.fa	WP_016655999.1	0.0	fig|470.5054.peg.3266|BQ1898_01310|	T6SS component TssC (ImpC/VipB)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10821.fa	WP_004861889.1	3.44e-72	fig|470.5054.peg.1481|BQ1898_06147|	T6SS outer membrane component TssL (ImpK/VasF) / OmpA/MotB domain   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10822.fa	WP_016655992.1	6.66e-11	fig|470.5054.peg.1479|BQ1898_06145|	T6SS secretion lipoprotein TssJ (VasD)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1082.fa	WP_009389225.1	2.43e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1083.fa	WP_063099106.1	1.63e-09	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10842.fa	WP_058972143.1	1.72e-158	fig|470.5054.peg.3254|BQ1898_01299|	VgrG protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10849.fa	WP_004865355.1	5.66e-61	fig|470.5622.peg.11660|SAMEA104305299_09241|	CFA/I fimbrial major subunit   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG10850.fa	WP_049001996.1	1.27e-166	fig|471.22.peg.13|A9988_18825|	CFA/I fimbrial auxiliary subunit   [Acinetobacter calcoaceticus strain EGD_AQ_BF14 | 471.22]	VFDB
HOG10851.fa	WP_016657468.1	0.0	fig|471.22.peg.14|A9988_18830|	CFA/I fimbrial subunit C usher protein   [Acinetobacter calcoaceticus strain EGD_AQ_BF14 | 471.22]	VFDB
HOG10852.fa	WP_004865362.1	2.17e-86	fig|470.7268.peg.6606|	CFA/I fimbrial minor adhesin   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1085.fa	WP_000845356.1	1.64e-36	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1088.fa	WP_000949923.1	3.37e-04	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10892.fa	WP_064786154.1	2.97e-180	fig|471.22.peg.17|A9988_18840|	CFA/I fimbrial chaperone   [Acinetobacter calcoaceticus strain EGD_AQ_BF14 | 471.22]	VFDB
HOG1089.fa	WP_000625528.1	2.18e-35	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1091.fa	WP_002000718.1	2.75e-28	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG10926.fa	WP_004879754.1	3.99e-07	fig|470.9257.peg.3613|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1093.fa	WP_016804741.1	6.56e-25	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1094.fa	WP_013197016.1	3.38e-29	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1095.fa	WP_019838316.1	1.75e-23	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1096.fa	WP_000662318.1	4.00e-33	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1098.fa	WP_000357083.1	5.88e-29	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11001.fa	WP_004899046.1	4.09e-10	fig|470.5628.peg.146|	Glycosyl transferase, group 2 family   [Acinetobacter baumannii strain 4300STDY7045807 | 470.5628]	VFDB
HOG11007.fa	WP_004900294.1	7.96e-08	fig|470.7268.peg.4419|	Outer membrane protein A precursor   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG11009.fa	WP_067723424.1	3.19e-05	fig|470.5054.peg.1890|BQ1898_02619|	Type IV fimbrial biogenesis protein PilW   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1100.fa	WP_000355650.1	2.54e-04	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11013.fa	WP_052690148.1	0.003	fig|1121366.3.peg.2068|VBICorPil241686_2068|	Two component system sensor histidine kinase MtrB   [Corynebacterium pilosum DSM 20521 | 1121366.3]	PATRIC
HOG1101.fa	WP_000861801.1	5.64e-13	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1102.fa	WP_000546789.1	0.001	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1103.fa	WP_058970734.1	1.85e-45	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1104.fa	WP_001087992.1	3.06e-19	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1105.fa	WP_000572817.1	2.20e-08	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1106.fa	WP_004769411.1	2.47e-25	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
